ProductID,ProductName,Category,Price,StockQuantity,CreatedDate,Description,SupplierID
1,Laptop,Electronics,1200.50,20,2025-01-01,High-performance laptop for gaming and work,1
2,Smartphone,Electronics,800.00,50,2025-01-02,Latest model with a great camera and battery life,2
3,Headphones,Accessories,50.00,150,2025-01-03,Noise-canceling headphones with superior sound quality,3
4,Tablet,Electronics,300.00,30,2025-01-01,Lightweight tablet for reading and browsing,1
5,Chair,Furniture,100.00,40,2025-01-02,Comfortable office chair with adjustable height,4
6,Desk,Furniture,250.00,15,2025-01-03,Spacious desk with multiple drawers,4
7,Shoes,Apparel,70.00,60,2025-01-04,Stylish sneakers for casual wear,5
8,T-shirt,Apparel,20.00,100,2025-01-04,Cotton T-shirt in various colors,5
9,Backpack,Accessories,45.00,25,2025-01-05,Durable backpack for daily use,6
10,Watch,Accessories,150.00,35,2025-01-05,Elegant wristwatch with leather strap,6
